Study Id,Reviewer,Did the study avoid inappropriate exclusions?,"","",Did the study avoid inappropriate exclusions? for All outcomes,"","",Was a case control design avoided?,"","",Was a case-control design avoided?,"","",Was a consecutive or random sample of participants enrolled?,"","",Was a consecutive or random sample of patients enrolled?,"","",Was the comparator blood pressure device used the same way for all patients?,"","",Was the interval between CNAP and comparator BP measurement devices the same for all patients and repeated measurements,"","",Was the interval between CNAP and comparator BP measurement devices the same for all patients and repeated measurements?,"","",Were CNAP results being interpreted without knowledge of the results of the comparator?,"","",Were CNAP results being interpreted without knowledge of the results of the comparator? for All outcomes,"","",Were all patients included in the analysis?,"","",Were comparator blood pressure results interpreted without knowledge of CNAP measurements?,"","",Were repeated measurements taken into account in the Bland-Altman analysis?,"","",Were the CNAP device measurements performed accurately?,"","",Were the comparator measures performed accurately?,"","",What was the overall risk of bias associated with the conduct of interpretation of comparator blood pressure measurements?,"","",What was the overall risk of bias associated with the conduct or interpretation of CNAP results?,"","",What was the overall risk of bias associated with the participant flow?,"","",What was the overall risk of bias associated with the selection of participants?,"","",What was the overall risk of bias associated with the selection of participants? for All outcomes,"",""
"","",Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments
Searle 1993,Aaron,"","","",unclear,Ex- cluded from the study were patients who had different noninvasive blood pressure values on either the left or right side.,"
","","","",low,"","","","","",unclear,"After Bioethics Committee approval, ten open-heart surgery patients were studied. All were one or two days after surgery and were without distress or complication. Eligibility for the study included rapid atrial fibrillation with heart rate _>100 bpm, haemodynamic stability and absence of angina and/or congestive heart failure.","
",low,"","","","","",unclear,"",No information provided,"","","",unclear,"Each patient was studied for 30 min. For the purpose of the study, each 60-sec average signal was considered as a one-time sample for comparison of TBP and IBP measurements. Paired","
",low,"","",unclear,"","",high,"",Repeated measures not accounted for in the analysis,low,The contralateral radial artery was used to determine tonometric blood pressure (TBP). The wrist-mounted ap- paratus was apposed to the radial artery (Figure IA) and the arterial waveform was reproduced on the N-CAT N-500 monitor.,"
",low,"All patients also had invasive blood pressure (IBP) monitoring with a 20-g Teflon cannula inserted in a radial artery linked to a disposable high-fidelity pres- sure transducer (Sorenson Transpac, Abbott Critical Care System). The arterial cannula was connected to the pres- sure transducer with a 180 cm long, 1.5 mm internal diameter, low compliance tubing. The arterial transducer was zeroed at the mid-axillary line and the calibration was checked for accuracy and linearity with a mercury manometer following internal electric calibration. The characteristics of the dynamic response of the IBP system was not measured, but using the fast flush technique, no excessive damping or ringing was noticed. 3 The trans- ducer waveform was displayed on a Siemens 1281 mon- itor (Siemens Medical Electronics Inc., Danvers, MA) and the cable attachment was verified with a Sorenson Transpac Transducer Simulator (no 42601-01 Abbott Critical Care System).","
",unclear,"","",unclear,"","",low,"","","","","",unclear,"",""
Searle 1993,Navpreet,"","","",low,Ex- cluded from the study were patients who had different noninvasive blood pressure values on either the left or right side.,"
","","","",low,"","","","","",unclear,"","",low,"All patients also had invasive blood pressure (IBP) monitoring with a 20-g Teflon cannula inserted in a radial artery linked to a disposable high-fidelity pres- sure transducer (Sorenson Transpac, Abbott Critical Care System).","
","","","",low,Each patient was studied for 30 min.,"
","","","",low,"For the purpose of the study, each 60-sec average signal was considered as a one-time sample for comparison of TBP and IBP measurements.","
",low,"or > five minutes. Results <b>Measurements were obtained from seven men and three 
women after cardiac surgery.</b> Their average age, weight, height","
",low,"","",high,"","",low,"","",low,"","",low,"","",low,"","",low,"","","","","",low,"",""
Searle 1993,Consensus,"","","",unclear,Ex- cluded from the study were patients who had different noninvasive blood pressure values on either the left or right side.,"
","","","",low,"","","","","",unclear,"After Bioethics Committee approval, ten open-heart surgery patients were studied. All were one or two days after surgery and were without distress or complication. Eligibility for the study included rapid atrial fibrillation with heart rate _>100 bpm, haemodynamic stability and absence of angina and/or congestive heart failure.","
",low,"All patients also had invasive blood pressure (IBP) monitoring with a 20-g Teflon cannula inserted in a radial artery linked to a disposable high-fidelity pres- sure transducer (Sorenson Transpac, Abbott Critical Care System).","
","","","",unclear,"","","","","",unclear,"Each patient was studied for 30 min. For the purpose of the study, each 60-sec average signal was considered as a one-time sample for comparison of TBP and IBP measurements. Paired","
",low,"or > five minutes. Results <b>Measurements were obtained from seven men and three 
women after cardiac surgery.</b> Their average age, weight, height","
",unclear,"","",high,"",Repeated measures not accounted for in the analysis,low,The contralateral radial artery was used to determine tonometric blood pressure (TBP). The wrist-mounted ap- paratus was apposed to the radial artery (Figure IA) and the arterial waveform was reproduced on the N-CAT N-500 monitor.,"
",low,"All patients also had invasive blood pressure (IBP) monitoring with a 20-g Teflon cannula inserted in a radial artery linked to a disposable high-fidelity pres- sure transducer (Sorenson Transpac, Abbott Critical Care System). The arterial cannula was connected to the pres- sure transducer with a 180 cm long, 1.5 mm internal diameter, low compliance tubing. The arterial transducer was zeroed at the mid-axillary line and the calibration was checked for accuracy and linearity with a mercury manometer following internal electric calibration. The characteristics of the dynamic response of the IBP system was not measured, but using the fast flush technique, no excessive damping or ringing was noticed. 3 The trans- ducer waveform was displayed on a Siemens 1281 mon- itor (Siemens Medical Electronics Inc., Danvers, MA) and the cable attachment was verified with a Sorenson Transpac Transducer Simulator (no 42601-01 Abbott Critical Care System).","
",unclear,"","",unclear,"","",low,"","","","","",unclear,"",""
Saugel 2012,Aaron,"","","",low,"sion criteria for enrollment in the study were age less than 18 years, presence or history of an arteriovenous shunt, anatomical abnormalities or injuries at the sensor appli- cation site, and known sensitivity to pressure stimuli such as pressure urticaria.","
","","","",low,"","","","","",unclear,"The presence of a 5-French 20-cm arterial catheter (Pul- siocath; Pulsion Medical Systems, Munich, Germany) placed in the abdominal aorta through the femoral artery for invasive BP measurement unrelated to the study was mandatory for enrollment in the study. In accordance with the limits of the calibration algorithms of the T-Line Ò TL- 200 device, the patients’ body weight and height needed to be 40–180 kg and 137–198 cm, respectively. Exclu-","
",low,"","","","","",low,we assessed BP values using the T-Line Ò TL-200 device for a total of 30 min (3 times 10 min within a time period of 60 min) and compared them to the simultaneously assessed invasive BP values.,"
","","","",low,"For data extraction, continuously measured beat-to-beat SAP, MAP, DAP, and pulse pressure (PP) values simul- taneously obtained using the arterial line and the T-Line Ò TL-200 device were transferred from the T-Line Ò TL-200 monitor to a computer with analyzing software using an Ethernet connection. As described before, the BP vari- ables were recorded as ‘‘log ﬁles’’ during study measurements and BP data were extracted resulting in a beat-to-beat report of BP variables","
",high,"","",low,"","",low,The agreement of BP mea- surements using the T-Line Ò TL-200 system compared to invasively determined BP was assessed by Bland–Altman plots for repeated measurements [7].,"
",low,Determination of BP with the T-Line Ò TL-200 was per- formed according to the manufacturer’s instructions.,"
",low,"","",low,"","",low,"","",high,"of all changes. Results Patients <b>Forty-one patients were eligible for enrollment in the present study. In ﬁve patients informed consent could not be obtained. In addition, a few patients had to be excluded from the analysis due to data recording problems: In ﬁve patients, the BP signal obtained from the arterial catheter was not recorded correctly beat-by-beat by the T-Line Ò monitor because of a technical error. In two patients, BP measurements could not be compared because of a false arterial line signal due to an overdamped arterial BP waveform and catheter clotting. Data from one patient were excluded from the analysis because excessive arm movement during the measurement procedure induced artifacts in the BP signal. Finally, data from 28 patients were available for analysis. 
Demographic data and</b> clinical characteristics including hemodynamic variables","
","","","",unclear,"",""
Saugel 2012,Navpreet,"","","",low,"Exclu- sion criteria for enrollment in the study were age less than 18 years, presence or history of an arteriovenous shunt, anatomical abnormalities or injuries at the sensor appli- cation site, and known sensitivity to pressure stimuli such as pressure urticaria.","
","","","",low,"","","","","",unclear,"","",low,"","","","","",low,we assessed BP values using the T-Line Ò TL-200 device for a total of 30 min (3 times 10 min within a time period of 60 min) and compared them to the simultaneously assessed invasive BP values.,"
","","","",low,"For data extraction, continuously measured beat-to-beat SAP, MAP, DAP, and pulse pressure (PP) values simul- taneously obtained using the arterial line and the T-Line Ò TL-200 device were transferred from the T-Line Ò TL-200 monitor to a computer with analyzing software using an Ethernet connection. As described before, the BP vari- ables were recorded as ‘‘log ﬁles’’ during study measurements and BP data were extracted resulting in a beat-to-beat report of BP variables","
",high,"In ﬁve patients, the BP signal obtained from the arterial catheter was not recorded correctly beat-by-beat by the T-Line Ò monitor because of a technical error. In two patients, BP measurements could not be compared because of a false arterial line signal due to an overdamped arterial BP waveform and catheter clotting. Data from one patient were excluded from the analysis because excessive arm movement during the measurement procedure induced artifacts in the BP signal.","
",low,"","",high,"","",low,Determination of BP with the T-Line Ò TL-200 was per- formed according to the manufacturer’s instructions.,"
",low,"5-French 20-cm arterial catheter (Pul- siocath; Pulsion Medical Systems, Munich, Germany) placed in the abdominal aorta through the femoral artery for invasive BP measurement","
",low,"","",low,"","",high,"","","","","",low,"",""
Saugel 2012,Consensus,"","","",low,"Exclu- sion criteria for enrollment in the study were age less than 18 years, presence or history of an arteriovenous shunt, anatomical abnormalities or injuries at the sensor appli- cation site, and known sensitivity to pressure stimuli such as pressure urticaria.","
","","","",low,"","","","","",unclear,"The presence of a 5-French 20-cm arterial catheter (Pul- siocath; Pulsion Medical Systems, Munich, Germany) placed in the abdominal aorta through the femoral artery for invasive BP measurement unrelated to the study was mandatory for enrollment in the study. In accordance with the limits of the calibration algorithms of the T-Line Ò TL- 200 device, the patients’ body weight and height needed to be 40–180 kg and 137–198 cm, respectively. Exclu-","
",low,"","","","","",low,we assessed BP values using the T-Line Ò TL-200 device for a total of 30 min (3 times 10 min within a time period of 60 min) and compared them to the simultaneously assessed invasive BP values.,"
","","","",low,"For data extraction, continuously measured beat-to-beat SAP, MAP, DAP, and pulse pressure (PP) values simul- taneously obtained using the arterial line and the T-Line Ò TL-200 device were transferred from the T-Line Ò TL-200 monitor to a computer with analyzing software using an Ethernet connection. As described before, the BP vari- ables were recorded as ‘‘log ﬁles’’ during study measurements and BP data were extracted resulting in a beat-to-beat report of BP variables","
",high,"In ﬁve patients, the BP signal obtained from the arterial catheter was not recorded correctly beat-by-beat by the T-Line Ò monitor because of a technical error. In two patients, BP measurements could not be compared because of a false arterial line signal due to an overdamped arterial BP waveform and catheter clotting. Data from one patient were excluded from the analysis because excessive arm movement during the measurement procedure induced artifacts in the BP signal.","
",low,"","",low,The agreement of BP mea- surements using the T-Line Ò TL-200 system compared to invasively determined BP was assessed by Bland–Altman plots for repeated measurements [7].,"
",low,Determination of BP with the T-Line Ò TL-200 was per- formed according to the manufacturer’s instructions.,"
",low,"5-French 20-cm arterial catheter (Pul- siocath; Pulsion Medical Systems, Munich, Germany) placed in the abdominal aorta through the femoral artery for invasive BP measurement","
",low,"","",low,"","",high,"of all changes. Results Patients <b>Forty-one patients were eligible for enrollment in the present study. In ﬁve patients informed consent could not be obtained. In addition, a few patients had to be excluded from the analysis due to data recording problems: In ﬁve patients, the BP signal obtained from the arterial catheter was not recorded correctly beat-by-beat by the T-Line Ò monitor because of a technical error. In two patients, BP measurements could not be compared because of a false arterial line signal due to an overdamped arterial BP waveform and catheter clotting. Data from one patient were excluded from the analysis because excessive arm movement during the measurement procedure induced artifacts in the BP signal. Finally, data from 28 patients were available for analysis. 
Demographic data and</b> clinical characteristics including hemodynamic variables","
","","","",unclear,"",""
Fischer 2012,Aaron,"","","",low,"Patients undergoing emergency surgery (,24 h), redo surgery, off-pump coronary artery bypass grafting, and complex, unusual procedures or not re- quiring advanced haemodynamic monitoring were not included in the study. Patients with abnormalities in post- operative cardiac rhythm were excluded from the study.","
","","","",low,"","","","","",high,"",No randomization,low,"","","","","",low,All measurements were performed over a 5 s time interval and then averaged. Bolus,"
","","","",high,"","",low,"The power analysis showed that 190 comparative data points of mean arterial pressure (38 sub- jects) were necessary to detect a difference between sample means of 5 mm Hg [5% type I error rate, 10% type II error rate, expected standard deviation ( SD ) at 15 mm Hg for both methods]. On the basis of a previous report con- ducted in the setting of cardiac surgery, 17 we postulated that the overall success rate of ﬁnger arterial pressure mon- itoring would be nearly 75%. Thus, we decided to include 50 subjects in the study.
(RockWare, Golden, CO, USA). Results <b>Six (12%) subjects were excluded from the analysis because 
of the inability to obtain a reliable photoplethysmographic 
signal, despite</b> multiple attempts with different sized","

",high,"","",low,"Because we per- formed multiple measurements in the same subjects, we replaced the classic Bland –Altman analysis","
",low,"The invasive radial pressure was recorded at a frequency of 14 Hz using the standard equipment (Marquette Solar 8000, GE Healthcare, Bucks, UK). The signal quality of intra-arterial pressure was checked by both visual inspection of the wave- form and a square wave test. 19 The Pulsiocath thermodilution catheter was connected to the standalone PiCCO 2 computer PC8500 version 2.0 (Pulsion Medical Systems, Munich, Germany). All pressure monitors were zeroed at the midaxil- lary line. CI measurement was performed by a triplicate 15 ml ice-cold normal saline injection through the central venous catheter (transpulmonary thermodilution). 20","
",low,"","",high,"","",high,"","",high,"",No randomization. ,"","","",high,"Patients undergoing conventional cardiac surgery with car- diopulmonary bypass (coronary artery bypass grafting, aortic and/or mitral valve replacement or repair, and com- bined cardiac surgery) and requiring advanced haemo- dynamic monitoring (transpulmonary thermodilution) were included in the study.","
"
Fischer 2012,Navpreet,"","","",low,"Patients undergoing emergency surgery (,24 h), redo surgery, off-pump coronary artery bypass grafting, and complex, unusual procedures or not re- quiring advanced haemodynamic monitoring were not included in the study. Patients with abnormalities in post- operative cardiac rhythm were excluded from the study.","
","","","",low,"","","","","",low,Fifty consecutive adult subjects were prospectively enrolled,"
",low,"","","","","",low,"Five consecutive sets of measurements were recorded for each subject during a 4 h period: at the arrival in the ICU (T0), and at 50–70 min (T1), 110 –130 min (T2), 170–190 min (T3), and 230–240 min (T4) after arrival in the ICU.","
","","","",low,"Sim- ultaneous comparative systolic, diastolic, and mean blood pressures were collected from the invasive radial catheter and the Nexﬁn. All measurements were performed over a 5 s time interval and then averaged.","
",high,Six (12%) subjects were excluded from the analysis because of the inability to obtain a reliable photoplethysmographic signal.,"
",low,"","",low,Bland –Altman analysis between ( A ) arterial invasive and photoplethysmographic systolic arterial pressure (220 paired data points); ( B ) arterial invasive and photoplethysmographic diastolic arterial pressure (220 paired data points); ( C ) arterial invasive and photoplethysmo- graphic mean arterial pressure (220 paired data points);,"
",low,"An appropriate ﬁnger cuff was applied to the middle phalanx of the second or third ﬁnger, according to the manufacturer’s recommendations.","
",low,"For each enrolled subject, a radial artery catheter (Leadercath 20 G, Vygon, Ecouen, France),","
",low,"","",low,"","",high,"","","","","",low,"Fifty consecutive adult subjects admitted to the cardiac surgical intensive care unit (ICU) after conventional cardiac surgery with cardiopulmonary bypass were investi- gated at the Teaching University Hospital of Caen (Caen, France) from March to July 2011.","
"
Fischer 2012,Consensus,"","","",low,"","","","","",low,"","","","","",high,"",No randomization,low,"","","","","",low,All measurements were performed over a 5 s time interval and then averaged. Bolus,"
","","","","","","",low,"(RockWare, Golden, CO, USA). Results <b>Six (12%) subjects were excluded from the analysis because 
of the inability to obtain a reliable photoplethysmographic 
signal, despite</b> multiple attempts with different sized
The power analysis showed that 190 comparative data points of mean arterial pressure (38 sub- jects) were necessary to detect a difference between sample means of 5 mm Hg [5% type I error rate, 10% type II error rate, expected standard deviation ( SD ) at 15 mm Hg for both methods]. On the basis of a previous report con- ducted in the setting of cardiac surgery, 17 we postulated that the overall success rate of ﬁnger arterial pressure mon- itoring would be nearly 75%. Thus, we decided to include 50 subjects in the study.","

",high,"","",high,Bland –Altman analysis between ( A ) arterial invasive and photoplethysmographic systolic arterial pressure (220 paired data points); ( B ) arterial invasive and photoplethysmographic diastolic arterial pressure (220 paired data points); ( C ) arterial invasive and photoplethysmo- graphic mean arterial pressure (220 paired data points);,"
",low,"The invasive radial pressure was recorded at a frequency of 14 Hz using the standard equipment (Marquette Solar 8000, GE Healthcare, Bucks, UK). The signal quality of intra-arterial pressure was checked by both visual inspection of the wave- form and a square wave test. 19 The Pulsiocath thermodilution catheter was connected to the standalone PiCCO 2 computer PC8500 version 2.0 (Pulsion Medical Systems, Munich, Germany). All pressure monitors were zeroed at the midaxil- lary line. CI measurement was performed by a triplicate 15 ml ice-cold normal saline injection through the central venous catheter (transpulmonary thermodilution). 20","
",low,"For each enrolled subject, a radial artery catheter (Leadercath 20 G, Vygon, Ecouen, France),","
",high,"","",high,"","",high,"",No randomization.,"","","",high,"Patients undergoing conventional cardiac surgery with car- diopulmonary bypass (coronary artery bypass grafting, aortic and/or mitral valve replacement or repair, and com- bined cardiac surgery) and requiring advanced haemo- dynamic monitoring (transpulmonary thermodilution) were included in the study.","
"
